Did Promotion Run?,In-Store Date End,In-Store Date Start,PPG,Plan Accounts,Promo type,Promotion Key,Promotion Name,Promotion Status,Promotion mechanism,Retailer,CustHierarchyNum,Manual Start Date,Manual End Date
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002879LIVE,"202401-202403 - 20240103 - 20240116 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH Mega KP13w2-3 $0.50 off 1 - 2879, 24 BEN RTH Mega KP13w2-3 $0.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerSmiths,41135845,2024-01-10,2024-01-23
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN CAL (PG),Temp Price Reduction,2410200000003191LIVE,"202410-202414 - 20240306 - 20240402 - ALB - SFWY SOUTHERN CAL (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 3191, March Digital Offer: $1.00 Off Two",130 - Finished - Evaluated,$0.50 off 1,ALBSoCal,41136078,2024-03-06,2024-04-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,Kroger,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFoodLess,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFredMeyer,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerFrys,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerKingSoopers,41135845,2024-03-27,2024-04-09
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003242LIVE,"202412-202414 - 20240320 - 20240402 - KROGER (PG) - Temp Price Reduction - Trade Promotion - $0.50 off 1 - 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1 - 3242, 24 BEN RTH 5X GAMING - KP2w4-P3w1 $.50 off 1",130 - Finished - Evaluated,$0.50 off 1,KrogerRalphs,41135845,2024-03-27,2024-04-09
